season,match_date,home_team,away_team,home_goals,away_goals,result,home_elo,away_elo,home_xg_form5,away_xg_form5,home_xg,away_xg
2018/19,2018-09-23,Arsenal,Everton,2,0,H,1411.913,1395.977,1.401,1.033,0.931,1.065
2018/19,2018-09-23,West Ham,Chelsea,0,0,D,1374.186,1444.623,1.02,1.873,1.018,1.883
2018/19,2018-09-29,Wolves,Southampton,2,0,H,1409.542,1382.412,1.618,1.592,1.425,0.68
2018/19,2018-09-29,West Ham,Man United,3,1,H,1374.198,1410.74,1.143,1.629,1.303,0.866
2018/19,2018-09-29,Newcastle,Leicester,0,2,A,1363.697,1399.961,0.592,1.07,0.397,1.343
2018/19,2018-09-29,Man City,Brighton,2,0,H,1444.682,1381.38,3.383,1.529,2.907,0.23
2018/19,2018-09-29,Huddersfield,Tottenham,0,2,A,1362.381,1422.622,0.618,1.713,0.339,2.337
2018/19,2018-09-29,Everton,Fulham,3,0,H,1388.401,1383.093,1.103,1.4,2.315,0.536
2018/19,2018-09-29,Chelsea,Liverpool,1,1,D,1444.611,1457.04,1.787,2.13,1.776,1.741
2018/19,2018-09-29,Arsenal,Watford,2,0,H,1419.488,1423.368,1.498,1.291,1.571,2.621
2018/19,2018-09-30,Cardiff,Burnley,1,2,A,1362.844,1372.435,0.784,1.113,1.567,0.112
2018/19,2018-10-01,Bournemouth,Crystal Palace,2,1,H,1407.851,1389.253,1.687,1.124,1.971,0.386
2018/19,2018-10-05,Brighton,West Ham,1,0,H,1375.039,1383.238,1.247,1.183,1.026,1.437
2018/19,2018-10-06,Man United,Newcastle,3,2,H,1401.7,1352.729,1.489,0.36,2.406,1.56
2018/19,2018-10-06,Leicester,Everton,1,2,A,1410.929,1396.267,1.294,1.162,1.105,1.15
2018/19,2018-10-06,Crystal Palace,Wolves,0,1,A,1381.749,1416.817,1.127,1.685,1.037,0.756
2018/19,2018-10-06,Burnley,Huddersfield,1,1,D,1384.157,1352.1,1.057,0.553,0.353,1.025
2018/19,2018-10-06,Watford,Bournemouth,0,4,A,1415.249,1415.355,1.431,1.743,1.066,3.285
2018/19,2018-10-06,Tottenham,Cardiff,1,0,H,1432.903,1351.123,1.527,0.866,2.652,1.138
2018/19,2018-10-07,Fulham,Arsenal,1,5,A,1375.227,1427.608,1.218,1.32,1.316,1.137
2018/19,2018-10-07,Liverpool,Man City,0,0,D,1458.682,1451.023,1.914,3.044,0.434,1.075
2018/19,2018-10-07,Southampton,Chelsea,0,3,A,1375.137,1442.969,1.373,1.798,1.487,3.547
2018/19,2018-10-20,Man City,Burnley,5,0,H,1453.222,1381.301,2.89,0.813,4.486,0.37
2018/19,2018-10-20,Bournemouth,Southampton,0,0,D,1427.34,1365.074,1.882,1.562,0.84,0.59
2018/19,2018-10-20,Cardiff,Fulham,4,2,H,1345.233,1364.721,0.881,1.097,1.756,0.948
2018/19,2018-10-20,Chelsea,Man United,2,2,D,1453.031,1408.404,2.208,1.69,2.212,1.115
2018/19,2018-10-20,Huddersfield,Liverpool,0,1,A,1354.956,1456.484,0.718,1.638,0.638,0.664
2018/19,2018-10-20,Newcastle,Brighton,0,1,A,1346.025,1383.279,0.631,1.345,1.712,0.676
2018/19,2018-10-20,West Ham,Tottenham,0,1,A,1374.998,1438.793,1.234,1.695,0.544,1.118
2018/19,2018-10-20,Wolves,Watford,0,2,A,1427.819,1403.264,1.583,1.415,0.474,1.068
2018/19,2018-10-21,Everton,Crystal Palace,2,0,H,1408.656,1370.747,1.283,1.091,1.928,1.502
2018/19,2018-10-22,Arsenal,Leicester,3,1,H,1438.115,1398.539,1.191,1.412,2.916,0.932
2018/19,2018-10-27,Southampton,Newcastle,0,0,D,1368.707,1335.086,1.052,0.862,1.192,0.298
2018/19,2018-10-27,Liverpool,Cardiff,4,1,H,1465.579,1353.789,1.526,1.077,2.302,0.643
2018/19,2018-10-27,Leicester,West Ham,1,1,D,1391.592,1364.82,1.402,1.165,1.953,1.56
2018/19,2018-10-27,Fulham,Bournemouth,0,3,A,1356.164,1423.707,0.983,1.86,0.384,2.106
2018/19,2018-10-27,Brighton,Wolves,1,0,H,1394.218,1415.163,0.944,1.433,1.013,1.38
2018/19,2018-10-27,Watford,Huddersfield,3,0,H,1415.92,1345.861,1.538,0.713,2.296,0.48
2018/19,2018-10-28,Crystal Palace,Arsenal,2,2,D,1363.757,1445.061,0.921,1.492,2.381,0.845
